ticker,ret_12m,proba_class_4,target_class,year
NAVI,-0.381587153102588,0.20256036520004272,0,2015
NDAQ,0.3269083571080646,0.20251275599002838,4,2015
KDP,0.1668936711159538,0.20225681364536285,4,2015
GME,0.033586307120943,0.2056075483560562,1,2016
SPLS,-0.1607645289609003,0.20538398623466492,0,2016
SWN,0.0123915737298636,0.2052145153284073,1,2016
NVDA,2.077892325315005,0.20516972243785858,4,2016
CMG,-0.0540397069752628,0.20514126121997833,0,2016
LRCX,0.5774531422271223,0.20512549579143524,4,2016
FAST,0.0806148055207027,0.2050926238298416,1,2016
HST,0.1748551272360796,0.20492272078990936,2,2016
NRG,0.4501039501039501,0.2045789211988449,4,2016
WMB,0.9393970679330994,0.20419292151927948,4,2016
GEN,0.6916082383873796,0.20414672791957855,4,2016
AES,-0.0150598837898732,0.204118549823761,0,2016
NWSA,0.0336039102731953,0.2038407176733017,1,2016
FCX,0.2921597633136092,0.20379090309143066,3,2016
HBAN,0.4409833562375933,0.20361328125,4,2016
AVGO,0.4406387027384795,0.20342803001403809,4,2016
RIG,0.3621444201312909,0.20325618982315063,4,2016
MRO,0.4378290805994329,0.2029908448457718,4,2016
RF,0.8918256607736741,0.20294639468193054,4,2016
HPE,0.3514685834675917,0.20294547080993652,4,2016
SPLS,0.1849710982658959,0.2058333307504654,3,2017
FAST,0.0899854862119011,0.20542357861995697,2,2017
CMG,-0.2747474747474747,0.2054014652967453,0,2017
LRCX,0.5995981128778614,0.20522697269916534,4,2017
AES,0.0623645557428365,0.2049657553434372,2,2017
NWSA,0.2320553960479647,0.20496562123298645,3,2017
RIG,-0.3140562248995984,0.20491118729114532,0,2017
RF,0.3069022945965951,0.20481114089488983,4,2017
NRG,0.6589768654284782,0.20442216098308563,4,2017
HBAN,0.1581010914485536,0.20435333251953125,2,2017
NAVI,-0.0675093082500489,0.20433953404426575,1,2017
KEY,0.1233322744599745,0.2042219489812851,2,2017
TGNA,-0.101123595505618,0.2039482593536377,0,2017
SWN,0.05140758873929,0.2036122828722,2,2017
FCX,0.3150707335023306,0.20346380770206451,4,2017
HPQ,0.2591739818678946,0.2034481018781662,3,2017
AMD,-0.3092783505154639,0.2033471167087555,0,2017
HPE,0.2856487849610272,0.20332050323486328,3,2017
MRO,0.0354929577464788,0.20330356061458588,1,2017
CSX,0.2154486122068422,0.20288240909576416,3,2017
FAST,0.213404349755881,0.2055286169052124,3,2018
CMG,1.1983905911482515,0.20545794069766998,4,2018
AES,0.6504986400725294,0.2052599936723709,4,2018
NAVI,0.1403803719659557,0.20520296692848206,3,2018
TSCO,0.5737603670372331,0.2051822543144226,4,2018
LUMN,-0.1899781738814114,0.20354343950748444,0,2018
HBAN,-0.1278250526123159,0.20346421003341675,1,2018
MRO,0.0472660500544068,0.202982559800148,2,2018
AMD,1.5393034825870644,0.20254619419574738,4,2018
NVDA,-0.2221640488656195,0.20214693248271942,0,2018
HPE,-0.0945078459343794,0.2020961344242096,1,2018
HBI,0.0043871310821588,0.2014247626066208,2,2018
AIV,0.2774431707790945,0.20131053030490875,4,2018
M,-0.1518246187363834,0.2012885957956314,0,2018
KMI,0.391926158839639,0.2011987417936325,4,2018
NRG,0.3962367914522526,0.2011786252260208,4,2018
WU,0.0002307692307692,0.20102046430110931,2,2018
HPQ,-0.0893714285714285,0.20097649097442627,1,2018
MAT,-0.0114068441064638,0.20089317858219147,1,2018
HRB,-0.0196129435022371,0.20088638365268707,1,2018
COTY,-0.5314628166712068,0.2049381285905838,0,2019
LUMN,-0.1424722128662849,0.20486679673194885,2,2019
MAT,-0.1638461538461539,0.20466667413711548,2,2019
CMG,-0.0786991412079403,0.20453773438930511,3,2019
GEN,0.4088723960529643,0.20420262217521667,4,2019
FCX,-0.4673186225342695,0.2040276676416397,0,2019
HBAN,-0.3206042803189257,0.20396707952022552,1,2019
NWSA,-0.2668609135315795,0.20350317656993866,1,2019
AES,-0.2239769294149959,0.2034895420074463,1,2019
AMD,0.7821316614420062,0.2030731737613678,4,2019
HBI,-0.5421575115817339,0.203049898147583,0,2019
FAST,-0.0028531714097592,0.2029179334640503,3,2019
NVDA,0.4731882432129235,0.20255887508392334,4,2019
HPE,-0.3494289090192989,0.20227189362049103,1,2019
RF,-0.3397383852052323,0.20209389925003052,1,2019
KIM,-0.4462377160892332,0.2018594741821289,0,2019
KEY,-0.3131527553706376,0.2015662044286728,1,2019
XRX,-0.3859885181198421,0.20155996084213257,0,2019
KMI,-0.2694746046782773,0.20149286091327667,1,2019
CPB,0.2501041299541831,0.20141282677650452,4,2019
