None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
180,XTO,1999-04-08,1998-12-31,249486000.0,-0.264,30103000.0,-69719000.0,-0.332,40.44,-1.281,1.712,-4.248,303745903.0,-53457000.0,1.381,-301413000.0,-45842000.0,177451000.0,5.805,1998
181,XTO,1999-03-19,1998-12-31,249486000.0,-0.264,30103000.0,-69719000.0,-0.332,40.086,-1.281,1.652,-4.099,293086976.0,-53457000.0,1.381,-301413000.0,-45842000.0,177451000.0,5.805,1998
182,XRX,2025-02-24,2024-12-31,6221000000.0,-10.75,-942000000.0,-1321000000.0,-0.75,-4.03,3.728,0.905,-0.729,973436447.0,-1216000000.0,1.121,-44000000.0,511000000.0,1076000000.0,6.562,2024
183,XRX,2024-02-23,2023-12-31,6886000000.0,-0.09,223000000.0,1000000.0,-0.004,22.659,5.226,0.904,-176.53,2294894559.0,-28000000.0,1.143,-37000000.0,686000000.0,2538000000.0,2.851,2023
184,XRX,2023-02-23,2022-12-31,7107000000.0,-2.15,-55000000.0,-322000000.0,-0.088,-95.989,0.652,0.777,-8.069,2598375999.0,-325000000.0,1.233,-57000000.0,159000000.0,3343000000.0,2.383,2022
185,XRX,2022-02-23,2021-12-31,7038000000.0,-2.56,-145000000.0,-455000000.0,-0.089,-38.213,3.588,0.707,-6.89,3134909149.0,-472000000.0,1.662,-68000000.0,629000000.0,4436000000.0,1.929,2021
186,XRX,2021-02-25,2020-12-31,7022000000.0,0.85,624000000.0,192000000.0,0.035,10.985,2.386,0.901,26.228,5035843562.0,256000000.0,2.334,-74000000.0,548000000.0,5592000000.0,1.597,2020
187,XRX,2020-02-28,2019-12-31,9066000000.0,6.03,1962000000.0,1353000000.0,0.261,4.278,5.959,1.226,5.064,6851810115.0,1532000000.0,1.787,-65000000.0,1333000000.0,5587000000.0,1.654,2019
188,XRX,2019-02-25,2018-12-31,9830000000.0,1.4,1144000000.0,361000000.0,0.068,9.946,4.571,1.445,20.033,7231789842.0,618000000.0,1.444,-90000000.0,1140000000.0,5005000000.0,1.922,2018
189,XRX,2018-02-23,2017-12-31,10265000000.0,0.71,1203000000.0,195000000.0,0.038,10.046,-0.267,1.496,40.317,7861770112.0,676000000.0,1.908,-102000000.0,34000000.0,5256000000.0,1.986,2017
190,XRX,2017-02-27,2016-12-31,10771000000.0,-1.96,148000000.0,-477000000.0,-0.059,78.759,3.864,1.575,-15.856,7563381255.0,-415000000.0,1.502,-113000000.0,1095000000.0,4803000000.0,2.725,2016
191,XRX,2016-02-19,2015-12-31,18045000000.0,1.68,1641000000.0,474000000.0,0.049,9.433,5.379,1.045,20.002,9480728809.0,451000000.0,1.272,-249000000.0,1611000000.0,9074000000.0,1.692,2015
192,XRX,2015-02-24,2014-12-31,19540000000.0,3.28,2654000000.0,969000000.0,0.083,8.244,5.988,1.462,16.046,15548551876.0,1228000000.0,1.461,-398000000.0,2063000000.0,10634000000.0,1.561,2014
193,XRX,2014-02-21,2013-12-31,21435000000.0,3.72,2793000000.0,1159000000.0,0.097,6.797,6.866,1.035,10.98,12726314026.0,1435000000.0,1.497,-341000000.0,2375000000.0,12300000000.0,1.323,2013
194,XRX,2013-02-21,2012-12-31,22390000000.0,3.6,2773000000.0,1195000000.0,0.1,6.072,6.785,0.833,8.029,9594881069.0,1472000000.0,1.4,-504000000.0,2580000000.0,11521000000.0,1.563,2012
