date,action,ticker,name,contraticker,contraname,note
2007-10-05,removed,ASN,ARCHSTONE SMITH TRUST,NBL,NOBLE ENERGY INC,
2007-10-02,removed,SLR,SOLECTRON CORP,EXPE,EXPEDIA GROUP INC,
2007-09-30,removed,VYX,NCR VOYIX CORP,TDC,TERADATA CORP,
2007-09-27,removed,MXIM,MAXIM INTEGRATED PRODUCTS INC,ANDV,ANDEAVOR,
2007-09-26,removed,FDC1,FIRST DATA CORP,ICE,INTERCONTINENTAL EXCHANGE INC,
2007-09-07,removed,CBSS,COMPASS BANCSHARES INC,MCHP,MICROCHIP TECHNOLOGY INC,
2007-08-27,removed,KSE,KEYSPAN CORP,JEF,JEFFERIES FINANCIAL GROUP INC,
2007-07-12,removed,BMET,BIOMET INC,AKAM,AKAMAI TECHNOLOGIES INC,
2007-07-06,removed,DG1,DOLLAR GENERAL CORP,ACAS,AMERICAN CAPITAL LTD,
2007-07-02,removed,ADCT1,ADC TELECOMMUNICATIONS INC,DFS,DISCOVER FINANCIAL SERVICES,
2007-06-29,removed,SANM,SANMINA CORP,COV,COVIDIEN PLC,
2007-06-29,removed,PMCS,PMC SIERRA INC,TEL,TE CONNECTIVITY PLC,
2007-06-29,removed,MEL,MELLON FINANCIAL CORP,GGP,GGP INC,
2007-06-01,removed,MEDI1,MEDIMMUNE INC,PCP,PRECISION CASTPARTS CORP,
2007-05-31,removed,KMI1,KINDER MORGAN INC,SUNEQ,SUNEDISON INC,
2007-04-10,removed,H1,REALOGY CORP,AIZ,ASSURANT INC,
2007-03-30,removed,TSG1,SABRE HOLDINGS CORP,MDLZ,MONDELEZ INTERNATIONAL INC,
2007-03-28,removed,UVN,UNIVISION COMMUNICATIONS INC,ANF,ABERCROMBIE & FITCH CO,
2007-03-22,removed,CMX,CAREMARK RX INC,SITC,SITE CENTERS CORP,
2007-03-20,removed,PD1,PHELPS DODGE CORP,HST,HOST HOTELS & RESORTS INC,
2007-03-02,removed,HMA1,HEALTH MANAGEMENT ASSOCIATES INC,CHRW,C H ROBINSON WORLDWIDE INC,
2007-02-22,removed,PGL,PEOPLES ENERGY CORP,TEG,INTEGRYS HOLDING INC,
2007-02-15,removed,APCC,AMERICAN POWER CONVERSION CORP,HCBK,HUDSON CITY BANCORP INC,
2007-02-09,removed,EOP,EQUITY OFFICE PROPERTIES TRUST,VAR,VARIAN MEDICAL SYSTEMS INC,
2007-02-02,removed,CMVT,COMVERSE TECHNOLOGY INC,RL,RALPH LAUREN CORP,
2007-01-10,removed,SBL,SYMBOL TECHNOLOGIES INC,AVB,AVALONBAY COMMUNITIES INC,
2007-01-04,removed,BLS,BELLSOUTH CORP,VALPQ,VALARIS PLC,
2006-12-29,removed,PTC,PTC INC,SE1,SPECTRA ENERGY CORP,
2006-12-19,removed,NAV,NAVISTAR INTERNATIONAL CORP,TEX,TEREX CORP,
2006-12-01,removed,NFB,NORTH FORK BANCORPORATION INC,STR1,QUESTAR CORP,
2006-11-30,removed,LU1,LUCENT TECHNOLOGIES INC,MTCH,MATCH GROUP INC,
2006-11-30,removed,FSL.B,FREESCALE SEMICONDUCTOR INC,DTV1,DIRECTV,
2006-11-20,removed,HCA1,HCA HEALTHCARE INC,BTUUQ,PEABODY ENERGY CORP,
2006-11-17,removed,ACV1,ALBERTO-CULVER CO,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,
2006-11-10,removed,LPX,LOUISIANA-PACIFIC CORP,FIS,FIDELITY NATIONAL INFORMATION SERVICES INC,
2006-11-10,removed,FSH,FISHER SCIENTIFIC INTERNATIONAL INC,CBRE,CBRE GROUP INC,
2006-11-06,removed,ASO1,AMSOUTH BANCORPORATION,CELG,CELGENE CORP,
2006-10-02,removed,GDW,GOLDEN WEST FINANCIAL CORP,SII1,SMITH INTERNATIONAL INC,
2006-10-02,removed,ANDW,ANDREW CORP,WU,WESTERN UNION CO,
2006-08-11,removed,KMG1,KERR MCGEE CORP,CME,CME GROUP INC,
2006-08-01,removed,CAR,AVIS BUDGET GROUP INC,TNL,TRAVEL & LEISURE CO,
2006-07-19,removed,GTW,GATEWAY INC,H1,REALOGY CORP,
2006-07-18,removed,CTB,COOPER TIRE & RUBBER CO,WINMQ,WINDSTREAM HOLDINGS INC,
2006-06-28,removed,KRI,KNIGHT RIDDER INC,CNX,CNX RESOURCES CORP,
2006-06-05,removed,EC1,ENGELHARD CORP,CBH1,COMMERCE BANCORP INC,
2006-06-02,removed,ABS,ALBERTSONS INC,JNPR,JUNIPER NETWORKS INC,
